CODE,larrivals.sender,larrivals.receiver
ALB,10.11620898,8.224687
ARE,9.294934246,11.84706069
ARM,9.408820991,6.906270049
ATG,7.378892524,10.79016751
AUS,10.94330724,10.51380611
AUT,11.47914921,13.09694186
AZE,10.42174899,8.909831177
BEL,11.17391136,10.87588835
BEN,9.055602453,6.919546148
BFA,7.273943915,8.678699609
BGR,9.891462676,11.23636605
BHR,9.028226688,9.186807814
BHS,9.228158802,9.497055495
BIH,8.857643221,7.936194489
BLR,10.59055413,6.744083725
BLZ,7.343583306,9.39892797
BRA,9.996925083,11.40771739
BRB,8.246391372,8.470044592
BTN,6.358196702,5.010480243
BWA,10.05072654,9.826806132
CAN,12.02903523,12.00365304
CHE,11.60974572,11.94908414
CHL,9.40566864,8.922920265
CHN,11.12475806,11.55380315
CPV,4.980032892,9.230762236
CRI,8.953952873,10.31443954
CYP,9.110552464,10.84862668
CZE,10.85054636,11.68001415
DEU,13.40162984,13.19067162
DMA,6.944138867,7.07154911
DNK,11.04884307,12.36490226
DOM,8.625371271,10.75066491
DZA,9.878880752,8.729403113
ECU,8.72348863,9.87698345
EGY,10.04588815,10.74598916
ESP,11.45076025,14.10230471
EST,9.566775635,10.15306854
ETH,7.545376857,7.873437184
FIN,10.69054016,9.774284247
FJI,7.59658761,9.652158303
FRA,12.25438213,14.92412508
GBR,12.84194868,13.12236538
GEO,10.60485957,8.167100225
GRC,10.40431439,12.68389186
GRD,7.433309404,7.357806716
GTM,9.708588226,9.582832113
HND,9.341810507,8.77939061
HRV,9.268442358,11.97285106
HTI,7.706008993,9.93959043
HUN,10.53807705,0
IDN,10.98525851,11.91695287
IND,10.72179509,9.775214758
IRL,10.78843306,12.56462433
IRN,10.09403043,0
ISL,8.104343992,8.916227136
ISR,10.42104604,9.494002717
ITA,12.13181772,13.52495333
JAM,8.811103388,10.02717101
JOR,9.483567742,9.407395709
JPN,12.14287143,11.05085112
KAZ,11.3445719,9.740352603
KGZ,10.89956931,7.136483209
KHM,8.666434519,9.353911983
KOR,11.384689,10.62297729
LAO,8.4625297,9.960693884
LBN,8.901590488,8.753542718
LCA,7.495541944,9.263594583
LKA,9.073720834,9.395708359
LSO,10.86826657,10.171601
LTU,10.20208566,9.759369709
LUX,8.793133358,10.37321614
LVA,9.346121975,8.191617838
MAR,8.726474294,9.920938106
MDG,6.190788182,9.368363139
MDV,7.318619121,8.349167532
MEX,11.96660112,0
MKD,10.72635505,8.218116719
MLT,7.885021374,9.684190611
MNG,9.957963055,7.562479513
MUS,7.751867398,8.521779978
MYS,10.93878605,12.45252467
NAM,9.164810833,9.572570853
NER,9.569500977,7.968795495
NGA,8.832470976,9.711166029
NIC,9.280816468,8.446143752
NLD,12.46571599,13.53402539
NOR,10.94358532,12.24151356
NPL,8.219949271,9.064089862
NZL,9.933126184,9.598048173
PAK,9.800744129,8.785714453
PAN,8.627271062,9.049653377
PER,9.31118159,9.516216451
PHL,10.37226044,10.37033602
POL,11.63781956,10.17074698
PRT,10.41109407,11.58076718
PRY,9.163699114,8.661930313
ROU,10.04743981,10.19801629
RUS,11.6082654,12.03125226
SAU,10.51644747,10.60613522
SGP,12.06128906,11.73864035
SLV,9.741910864,10.69690784
SRB,0,8.309082507
SUR,6.320993089,8.080810916
SVK,9.63676727,11.2855778
SVN,10.06413765,10.3533557
SWE,11.21573791,12.45414
SYC,6.619739818,7.722280702
TGO,7.190502115,7.929928209
THA,10.7034495,11.21277891
TJK,9.70814884,4.432951271
TON,6.759591031,7.632582796
TTO,8.611196532,8.074760866
TUN,8.790186086,11.59102575
TUR,10.18022086,11.86064679
UGA,5.886682568,7.791238688
UKR,12.0122993,10.95858744
URY,9.181513359,9.206006858
USA,12.87152317,12.85813961
VCT,7.483900369,7.566670395
VEN,9.432996468,8.636583343
VNM,9.191509528,10.99099097
YEM,9.199420675,8.353840581
ZAF,10.23281186,11.34061962
ZMB,8.298431912,9.698840157
